"DatePosted","CVE","BulletinKB","Title","AffectedProduct","AffectedComponent","Severity","Impact","Supersedes","Exploits"
"20080421","SPXPSP3","936929","Microsoft Windows XP Service Pack 3 (KB936929)","Microsoft Windows XP Service Pack 2","","Critical","No more updates","835935",""
"20110209","SPSRV8R2X64SP1","SPSRV8R2X64SP1","Windows Server 2008 R2 for x64-based Systems Service Pack 1","Windows Server 2008 R2 for x64-based Systems","","Critical","No more updates","",""
"20081024","SPSRV8X86SP2","SPSRV8X86SP2","Windows Server 2008 for 32-bit Systems Service Pack 2","Windows Server 2008 for 32-bit Systems","","Critical","No more updates","",""
"20081024","SPSRV8X64SP2","SPSRV8X64SP2","Windows Server 2008 for x64-based Systems Service Pack 2","Windows Server 2008 for x64-based Systems","","Critical","No more updates","",""
"20050330","SPSRV3X86SP1","SPSRV3X86SP1","Microsoft Windows Server 2003 Service Pack 1","Microsoft Windows Server 2003","","Critical","No more updates","",""
"20070313","SPSRV3X86SP2","SPSRV3X86SP2","Microsoft Windows Server 2003 Service Pack 2","Microsoft Windows Server 2003 Service Pack 1","","Critical","No more updates","SPSRV3X86SP1",""
"20050330","SPSRV3X64SP1","SPSRV3X64SP1","Microsoft Windows Server 2003 x64 Edition Service Pack 1","Microsoft Windows Server 2003 x64 Edition","","Critical","No more updates","",""
"20070313","SPSRV3X64SP2","SPSRV3X64SP2","Microsoft Windows Server 2003 x64 Edition Service Pack 2","Microsoft Windows Server 2003 x64 Edition Service Pack 1","","Critical","No more updates","SPSRV3X64SP1",""

# End of life Windows 10 builds
"20151110","SP10X64V1511","4000824","Windows 10 Version 1511 for x64-based Systems (KB4000824)","Windows 10 Version 1507 for x64-based Systems","","Critical","No more updates","",""
"20151110","SP10X86V1511","4000824","Windows 10 Version 1511 for 32-bit Systems (KB4000824)","Windows 10 Version 1507 for 32-bit Systems","","Critical","No more updates","",""
"20151110","SP10X64V1607","4000825","Windows 10 Version 1607 for x64-based Systems (KB4000825)","Windows 10 Version 1511 for x64-based Systems","","Critical","No more updates","4000824",""
"20151110","SP10X86V1607","4000825","Windows 10 Version 1607 for 32-bit Systems (KB4000825)","Windows 10 Version 1511 for 32-bit Systems","","Critical","No more updates","4000824",""


# MS17-010 (Eternal Blue)
## Extra Operating System versions not listed on https://support.microsoft.com/help/4023262
## These will require an update to a more recent of the OS first
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Microsoft Windows XP","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Microsoft Windows XP Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Microsoft Windows XP Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Microsoft Windows XP Professional x64 Edition Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Vista x64 Edition","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Vista","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Vista x64 Edition Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Vista Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012212","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012212","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## March Security Only Update
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Microsoft Windows Server 2003 Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Microsoft Windows Server 2003 x64 Edition Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Microsoft Windows XP Service Pack 3","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Vista x64 Edition Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Vista Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 for x64-based Systems Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 for 32-bit Systems Service Pack 2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows 8 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012598","Windows SMB Remote Code Execution Vulnerability","Windows 8 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012212","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012212","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012212","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012214","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012213","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012213","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012213","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012606","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012606","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4013198","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4013198","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4013429","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4013429","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4013429","Windows SMB Remote Code Execution Vulnerability","Windows Server 2016","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## March Monthly Rollup
"20170314","CVE-2017-0143","4012215","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012215","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012215","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012217","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012216","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012216","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4012216","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4016637","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4016637","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4016636","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4016636","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4016635","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4016635","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170314","CVE-2017-0143","4016635","Windows SMB Remote Code Execution Vulnerability","Windows Server 2016","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## March Preview of Monthly Rollup
"20170321","CVE-2017-0143","4012218","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170321","CVE-2017-0143","4012218","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170321","CVE-2017-0143","4012218","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170321","CVE-2017-0143","4012220","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170321","CVE-2017-0143","4012219","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170321","CVE-2017-0143","4012219","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170321","CVE-2017-0143","4012219","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## April Security Only Update
"20170411","CVE-2017-0143","4015546","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015546","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015546","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015548","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## April Monthly Rollup
"20170411","CVE-2017-0143","4015549","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015549","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015549","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015551","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015550","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015550","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015550","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015221","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015221","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1507 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015219","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015219","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1511 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015217","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015217","Windows SMB Remote Code Execution Vulnerability","Windows 10 Version 1607 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170411","CVE-2017-0143","4015217","Windows SMB Remote Code Execution Vulnerability","Windows Server 2016","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## April Preview of Monthly Rollup
"20170418","CVE-2017-0143","4015552","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170418","CVE-2017-0143","4015552","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170418","CVE-2017-0143","4015552","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170418","CVE-2017-0143","4015554","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170418","CVE-2017-0143","4015553","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170418","CVE-2017-0143","4015553","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for 32-bit Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170418","CVE-2017-0143","4015553","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012 R2","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"

## May Security Only Update
"20170509","CVE-2017-0143","4019263","Windows SMB Remote Code Execution Vulnerability","Windows 7 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019263","Windows SMB Remote Code Execution Vulnerability","Windows 7 for 32-bit Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019263","Windows SMB Remote Code Execution Vulnerability","Windows Server 2008 R2 for x64-based Systems Service Pack 1","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019214","Windows SMB Remote Code Execution Vulnerability","Windows Server 2012","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
"20170509","CVE-2017-0143","4019213","Windows SMB Remote Code Execution Vulnerability","Windows 8.1 for x64-based Systems","","Critical","Remote Code Execution","","https://www.exploit-db.com/exploits/41891/, https://www.exploit-db.com/exploits/41987/, https://www.exploit-db.com/exploits/43970/"
